winery,wine_name,wine_type,wine_country,average_rating,num_of_ratings,wine_price,grapes,alcohol_content,reviews
El Enemigo,Chardonnay 2018,White wine,Argentina,4.3,2239,23.99,100% Chardonnay,13.8,"4.25 perhaps. Apple, then more Chardonnay like flavors. Tasted nutmeg/tiramisu when I paired it with the TJs caramelized onion cheese 🤯,Phenomenally buttery. Pineapple and three fruit on the nose. Straw yellow.Medium alcohol and medium acidity. A wonderful wine.,As buttery as the 17’ vintage and as generously rated by James Suckling (one notch below), 97 pts. Otherwise WA93, AG93, TA93, DES93. 4.3*"
Minuty,M Rosé 2020,Rosé wine,France,4.0,354,18.99,"50% Grenache, 40% Cinsault, 10% Shiraz/Syrah",12.5,"3,8. Pale salmon color. Nose of peach, strawberry and grapefruit. Taste of peach, citrus, strawberry and hints of mandarin orange.,Light salomon red color. Very dry and acid. Notes of strawberry, raspberry and citrus. Some watermelon in aftertaste. I liked.,’Tis the Season. Cold 🥶 in the pale but warming spring sun. Enjoy strawberry 🍓 raspberry some citrus and grapefruit in aftertaste for freshness."
Santi,Infinito Rosé 2018,Rosé wine,Italy,3.8,93,12.29,"65% Corvina, 30% Rondinella, 5% Molinara",12,"Dejlig, let neutral rosé. God til pizza ved gardasøen.,Really nice light strawberry and red berriies.,Dry and simple, this is a serviceable rosé that is crisp and good."
Jansz,Premium Rosé N.V.,Sparkling wine,Australia,3.9,1460,29,"Pinot Meunier, Pinot Noir, Chardonnay",12,"89/100 Blend of 78/22/ Pinot Noir and Chardonnay. It has notes of sweet candied cherry, strawberry, and rhubarb. There is a pronounced layer of brioche which accompanies the fine bubbles. It’s not complex but it is delicious.,Apple and rose. Crissy and delicate. Very pale. Flavourful, complex and keeps developing and giving. A touch of butter on the tail,Warming up the night before the final clash. Feeling the good positive vibes from this. Also - just as nice as lots of the French champagnes."
Balbach,Riesling 2018,White wine,Germany,4.3,49,14.99,Riesling,,"extraordinary balance between acidity and sweetness, very good,2017 vintage,2017 vintage"
Domaine de Terrebrune,Terroir du Trias Delille Vigneron Bandol Rosé 2015,Rosé wine,France,4.1,75,38.95,"50% Mourvedre, 25% Grenache, 25% Cinsault",,"I love Bandol. Very delicacy and just great,Deep salmon colour. Nose with roses and hint of strawberry. Dry, though fruity taste with roses, strawberries, hints of pleasant bitterness and minerals at the finish.,Fine but not in the same league as the Tempier. Actually astringent at first and needs to open up, has some nice red fruit then but overall just fine and maybe not worth the price"
Domaine de Durban,Muscat de Beaumes-de-Venise 2013,Fortified Wine,France,4.1,181,35.99,Muscat Blanc,15,"Epic muscat a petit grains. Almond, apricot, candied peach, pandoro with icing sugar, sweet nut, candied pear. Right level of sweetness and acidity. Long finale.,So wonderful! Great dessert wine that can stand up to a Sauternes! Vibrant acidity balanced with residual sugar, raisinated, candied yellow plum, ripe stone fruit, nuttiness. Delicious,Oh wait! Forgot this was in the fridge we had to empty because we sold it 😄 Pretty bad move, as we have to stay one more week in 🇦🇺, in a bare apartment 😅 Creamy apricot, peach in syrup, honey, caramelised almond. Blue cheese (saw it in other reviews too), cedar. Sweet with beautiful acidity, not oily, not heavy. Fresh & rich, lovely dessert wine. Sweet grape, apricot, creamy honey, walnut, perfumed cedar, orange peel finish, addictive. Let it breathe, it got better and better! 3.8 15% abv, cork."
Château de Rayne Vigneau,Clos l'Abeilley Sauternes 2013,Dessert wine,France,3.8,77,32.99,"Sauvignon Blanc, Sémillon",,"Pale gold colour. Aromatic nose of booze and batternberg cake 🎂 with a big slab of apricot jam on top. It's sweet, high acidity and full-bodied. Almond and honey 🍯 with peach, dried fruit and citrus peal. Wonderful long finish.,And I'm back on the sweet stiff again, thank God they come in halves. Nose - Classic pronounced marmalade orange rind, with that lovely sour-ness to balance the sweetness, petroly and heady. Punchy topical fruit (guava etc). Palate - Lots more marmalade, but with a creaminess, toastiness and a butteriness - literally like butter and old school marmalade on toast. Tart bitterness of the orange cuts through the sweetness. Full body, but balanced and not heavy due to this. Finish - Orange rind all the way.,This is quite a light dessert wine and not overly sweet. It has the usual tastes of honeysuckle, apricot and peach but also there is almond at the end. As it's not too syrupy, it is a good one to have on stock and it doesn't need an overly rich dessert next to it. Personally I would prefer it to be slightly more viscous and sweet but it's still very good."
Ermitage du Pic Saint Loup,Rosé 2018,Rosé wine,France,3.8,29,16.99,"Shiraz/Syrah, Grenache, Mourvedre, Cinsault",,"Deliciously salty. Like coarse salt over fresh watermelon in the summertime. It’s delicious and pairs with so many other things,Of course it’s a delicious rose because it’s Kermit Lynch. GSM with a hint of Cinsault, riper than I would have expected with cranberry and strawberry flavors and biodynamic to boot,Brilliant salmon copper, muted red fruits, earth and mineral ...... Fresh, inviting, balanced, more, more, more !!!! Enjoyed with oysters & 3 types fresh home grown chili peppers ..... Cheers 🥂 🥂🥂🥂"
Dancing Crow Vineyards,Rosé 2019,Rosé wine,United States,4.0,29,17.33,,,"Juicy raspberry and strawberry with light sweetness up front, quickly absorbed by acidity and citrus on the finish,Very nice wine. Fruity with Strawberry, lemon, pineapple with balanced acidity. Fills your mouth and flabby. Some bitterness at the end which I cannot place.,Dry, fruit forward, strawberry notes, nice acidity"
